entity_id,type,amount,currency,fee,tax,credit,debit,settlement_id,settlement_utr,settled_at,created_at,description,order_id,method,card_network
pay_z4SZI6SeG3Icpu,payment,5211804,INR,95130,17123,5099551,0,setl_54Ti6HT2tv2ZZb,1787854736767j2d,1787879615,1787769000,Microsoft Azure - Settlement,order_TUtFdTKV8kPyba,card,RUPay
pay_R86zFNn8DU9wMz,payment,5614777,INR,102426,18437,5493914,0,setl_B9mllkOBEwI0do,1787854736gnrfio,1774292567,1774204200,Twilio Inc - Settlement,order_TUtFddEf4hNQKs,card,RUPay
pay_yOwwkR99hxG1IW,payment,2603244,INR,52964,9534,2540746,0,setl_56NpMMK7bmq13a,17878547361v3zo7,1783783164,1783621800,Slack Technologies - Settlement,order_TUtFdhe23bO35n,card,MC
pay_KDtgudwfGf6Cw1,payment,540293,INR,10425,1876,527992,0,setl_kg2wgbzC9gYtif,1787854736wbkok3,1783799698,1783652829,Slack Technologies - Settlement,order_TUtFdhe23bO35n,card,RUPay
pay_7DdYqe4EFlERnh,payment,611518,INR,12128,2183,597207,0,setl_KS4q4coFfLk3hY,1787854736laq665,1783762618,1783664398,Slack Technologies - Settlement,order_TUtFdhe23bO35n,card,VISA
pay_gclGr0ovsNbOVc,payment,3176352,INR,69811,12566,3093975,0,setl_Pq4xsHHbWgXxf6,1787854736nn16ux,1784591872,1784485800,Salesforce.com - Settlement,order_TUtFdnWntRcI0A,card,VISA
pay_Vpu1s8lVjNoNG0,payment,3268335,INR,60428,10877,3197030,0,setl_KIvDTt7RL37AvA,1787854736rr3vrh,1756468152,1756319400,Zoho Corporation - Settlement,order_CuryXpy8eCfk12,card,VISA
pay_jy08ymnB5zQLrT,payment,197991,INR,4168,750,193073,0,setl_cblA2RmyMLDVJC,1787854736uvldd9,1748478146,1748370600,Stripe Payments - Settlement,order_18EwQmYEUph7m3,card,VISA
pay_1jYInBuNaVWswj,payment,1413234,INR,25473,4585,1383176,0,setl_plqkwKcj5FSWXE,1787854736ptkezj,1761226881,1761071400,Google Cloud Platform - Settlement,order_uaGn2br4CxSXJg,card,MC
pay_uDFbalZNfVGqkg,payment,548435,INR,10213,1838,536384,0,setl_ZNMDj8gFslwra0,1787854736juw7wr,1769621418,1769452200,Salesforce.com - Settlement,order_ekOncp3cRhE69S,card,VISA
pay_9DM6vvRHeaIhOi,payment,4793824,INR,90517,16293,4687014,0,setl_ey2OSMHcxtMmZC,1787854736m3hxyj,1753304291,1753209000,Twilio Inc - Settlement,order_0GXWSrBzYA1w84,card,RUPay
pay_1CB51jjrZHBUxm,payment,3463027,INR,63333,11400,3388294,0,setl_TfUAqVsmBKUUp4,17878547362xrw6t,1766904123,1766773800,DigitalOcean - Settlement,order_nmqsozm4oTbjtF,card,RUPay
pay_0PkgYTVUKfHf4V,payment,1085561,INR,19923,3586,1062052,0,setl_cy5DgjqiBjU4xE,1787854736f4mntf,1747499588,1747333800,Cloudflare Inc - Settlement,order_g4zPzdyuVH7I71,card,RUPay
pay_OJMlvoKveuvb5i,payment,4491795,INR,95496,17189,4379110,0,setl_Yk1urTBZeOc6NS,1787854736e226pa,1737029063,1736879400,Atlassian - Settlement,order_hcppky6GOB2i4N,card,RUPay
pay_8TbdnxkVEcCWRn,payment,3723587,INR,71839,12931,3638817,0,setl_4JVd2TUvG8g9MC,1787854736n5elb4,1746049213,1745951400,Dropbox Inc - Settlement,order_CC9HOhYX6rhkt2,card,MC
pay_Xj7tC4jLlf7byz,payment,5312987,INR,108259,19487,5185241,0,setl_U3GvuBvnNMRhvp,1787854736jfe8ud,1760537710,1760380200,Adobe Creative Cloud - Settlement,order_TUtFePHQsezdDE,card,RUPay
pay_KPbbgJXRZUlwoE,payment,393081,INR,7869,1416,383796,0,setl_VTIrRPEmVbIdpG,1787854736bpgvv4,1765277036,1765132200,Zoho Corporation - Settlement,order_TUtFeTZnQNR873,card,MC
pay_Rso42UkIV7rYk6,payment,3774019,INR,78173,14071,3681775,0,setl_mTysph8ucIy5dc,1787854736yzqii4,1738083463,1737916200,Salesforce.com - Settlement,order_TUtFeY61P6PEnS,card,VISA
pay_xypztqgoaWWLN6,payment,1729289,INR,33733,6072,1689484,0,setl_PWL4U1UeEGd0RV,1787854736usozdu,1738443896,1738348200,DigitalOcean - Settlement,order_TUtFecNIbxxxib,card,VISA
pay_IE0Gvz2CUvIXKz,payment,1946202,INR,36795,6623,1902784,0,setl_xhYZmh8XVykwaw,1787854736tixc7u,1738521892,1738371709,DigitalOcean - Settlement,order_TUtFecNIbxxxib,card,RUPay
pay_CWs8luwOO7w4Mq,payment,662230,INR,13830,2489,645911,0,setl_HkUGbTZlqkyUnD,1787854736hfu131,1745884558,1745778600,Dropbox Inc - Settlement,order_TUtFehTzErArv7,card,RUPay
pay_RXg7yxIPn2iG00,payment,4627424,INR,91839,16531,4519054,0,setl_cSmbM2Sxq46s49,1787854736uws44c,1784989743,1784831400,Stripe Payments - Settlement,order_TUtFelr9vlQWdV,card,VISA
pay_Q4Jb6NbVBDfO9X,payment,2051991,INR,43199,7776,2001016,0,setl_8Ai8GRBakmsZaN,1787854736gft4mp,1784955610,1784831400,Freshworks Inc - Settlement,order_TUtFerG5RYQpTB,card,MC
pay_awOHOnmDzehnjs,payment,2577555,INR,52674,9481,2515400,0,setl_9pIEAseb9FnZcw,1787854736vpgstq,1773300370,1773167400,Microsoft Azure - Settlement,order_lZNfVGqkgTN9DM,card,VISA
pay_VjLpgW7hwfB2CX,payment,1722918,INR,31023,5584,1686311,0,setl_NaAetsQ5jCCdWj,17878547368c0s41,1746333624,1746210600,Shopify Inc - Settlement,order_eaIhOipVYubcET,card,VISA
pay_WEOoGkuIVUnzq8,payment,3051551,INR,64050,11529,2975972,0,setl_cE3Fdt7EnxTDVw,1787854736qsq0p8,1752902016,1752777000,Microsoft Azure - Settlement,order_V7oJGPKJvE6mci,card,VISA
pay_Is6CMx2TTYydCo,payment,952906,INR,17847,3212,931847,0,setl_RC5utiDdKD9ymR,1787854736cs4kek,1741751479,1741631400,Cloudflare Inc - Settlement,order_bSRDfTcDzE11mf,card,VISA
pay_CoQxbYb7VLqWxQ,payment,5146751,INR,110390,19870,5016491,0,setl_AGKkJbyQrex1VF,1787854736f7fr91,1786331388,1786213800,Google Cloud Platform - Settlement,order_TdJDG3VsfKPbbg,card,MC
pay_jlq6XvjgYoPHte,payment,5362167,INR,104731,18852,5238584,0,setl_otKj0DQyDcdd65,1787854736iyojtp,1765947652,1765823400,DigitalOcean - Settlement,order_L9JSwfhtgp2mlJ,card,VISA
pay_wrNlr9MIEKs9y7,payment,354961,INR,6557,1180,347224,0,setl_5bq7qC4n7a41UQ,1787854736dxo100,1768060565,1767897000,Salesforce.com - Settlement,order_8luwOO7w4Mqjbv,card,VISA
pay_Eh30s5nxfHMIxB,payment,4621156,INR,89603,16129,4515424,0,setl_vgq9TAAEZgqVsP,1787854736bwcv6h,1748017162,1747852200,Zoom Video Communications - Settlement,order_TUtFfVTiry4Qy8,card,RUPay
pay_xilFT9sgvzE8nb,payment,2410687,INR,46950,8451,2355286,0,setl_nrH1Io3j73rPc6,1787854736w7jp61,1770790589,1770661800,Atlassian - Settlement,order_TUtFfZZFR0D05Z,card,RUPay
pay_2wnL7a4DHJKUrV,payment,218283,INR,4230,761,213292,0,setl_PwRDY9QyLE8MYo,1787854736dtpwdp,1754798147,1754677800,Amazon Web Services - Settlement,order_TUtFfdYIuUHsYK,card,RUPay
pay_PniHShfK6Josl0,payment,1040889,INR,22258,4006,1014625,0,setl_GEjPb3Jn5pQr4j,1787854736s7rp42,1766955788,1766860200,Shopify Inc - Settlement,order_TUtFfhqxjS9sTl,card,RUPay
pay_BCnjovZnemR7dx,payment,685962,INR,14612,2630,668720,0,setl_hA7ydj5WqYn7Fh,17878547368cq1xg,1766972621,1766881066,Shopify Inc - Settlement,order_TUtFfhqxjS9sTl,card,RUPay
pay_EDbeMlTst18IWi,payment,773427,INR,14842,2672,755913,0,setl_7oSYGqe2bLCB9O,1787854736n2xr83,1766977087,1766888536,Shopify Inc - Settlement,order_TUtFfhqxjS9sTl,card,VISA
pay_QPGRXmP1JUjTve,payment,81212,INR,1613,290,79309,0,setl_CDwCHypcq2Jj5C,1787854736fxq7bz,1744931709,1744828200,Atlassian - Settlement,order_TUtFfmBGoPHiGO,card,RUPay
pay_TB6f7NVDe2odh0,payment,1747855,INR,34948,6291,1706616,0,setl_An4yGlzDyHkmDM,1787854736m40oey,1745015304,1744857354,Atlassian - Settlement,order_TUtFfmBGoPHiGO,card,VISA
pay_tvWYjMiEfvR9qH,payment,193423,INR,4164,750,188509,0,setl_IzxvkUHIZrib5C,1787854736d4w1ar,1744967748,1744880516,Atlassian - Settlement,order_TUtFfmBGoPHiGO,card,MC
pay_9iWIlYCCsxgJ3I,payment,5303498,INR,103380,18608,5181510,0,setl_A5rkRqxdHIQbOK,1787854736yvzwd3,1781328478,1781202600,Google Cloud Platform - Settlement,order_TUtFfqqZtYRhWH,card,RUPay
pay_9tSUzhrSyWp8kx,payment,2851217,INR,53175,9572,2788470,0,setl_VAOHgFWvhNvoRM,17878547362y8rgy,1779739451,1779647400,Cloudflare Inc - Settlement,order_TUtFfwolHxLpd8,card,RUPay
pay_lQo8jODdgswXyP,payment,347502,INR,7130,1283,339089,0,setl_DWMPm3cGDhJBfE,1787854736iqup06,1766976754,1766860200,Atlassian - Settlement,order_R86EnWxq7IlwCE,card,RUPay
pay_BTJqZw52tDIMUp,payment,2560127,INR,47208,8497,2504422,0,setl_wUGt1XNde3I5cY,1787854736ezw9he,1738681936,1738521000,Atlassian - Settlement,order_q6XvjgYoPHteXi,card,RUPay
pay_K4VVvsnqlLPiN8,payment,373021,INR,7183,1293,364545,0,setl_DI0cKV2lwnlK81,1787854736d4r9v4,1738673210,1738550219,Atlassian - Settlement,order_q6XvjgYoPHteXi,card,VISA
pay_qedi5sRjh3YVvJ,payment,2437472,INR,50747,9134,2377591,0,setl_Aa2PaN5643ZC9t,1787854736spo3zd,1738678520,1738527202,Atlassian - Settlement,order_q6XvjgYoPHteXi,card,MC
pay_E5ouNzQiQGtOD4,payment,1301181,INR,28393,5111,1267677,0,setl_OiAt6ISoFdSr1u,1787854736aq15o2,1761033551,1760898600,Twilio Inc - Settlement,order_MIEKs9y79priSS,card,MC
pay_GUdqI78Jo2douR,payment,2942422,INR,55704,10027,2876691,0,setl_mrAmXqgSurljMq,1787854736wm7s6n,1746476558,1746383400,Salesforce.com - Settlement,order_xOeWjc8I2EYsdZ,card,VISA
pay_voOt0C5Zz5CzwL,payment,5479228,INR,99923,17986,5361319,0,setl_GWmWKiErM8OHd6,1787854736u8h0im,1742271243,1742149800,Microsoft Azure - Settlement,order_cgHzikvIf1zgSK,card,RUPay
pay_AjG8R9he60dLGK,payment,4817402,INR,103608,18649,4695145,0,setl_faDXcfzdgz3cWp,1787854736y95g5d,1757925807,1757788200,Atlassian - Settlement,order_niHShfK6Josl0i,card,VISA
pay_LtxjuK13zfFpLI,payment,5366074,INR,102111,18380,5245583,0,setl_3R7GRre2gmS8hI,1787854736mpxkc5,1786762651,1786645800,Microsoft Azure - Settlement,order_ovZnemR7dxqSED,card,VISA
pay_XbQUkjQWOpcJq5,payment,2684859,INR,48401,8712,2627746,0,setl_zgUjowepgicj3T,17878547362ink4f,1765860674,1765737000,Zoom Video Communications - Settlement,order_Tst18IWiTcQPGR,card,RUPay
pay_n6WN7dc9Xr4uxz,payment,3342575,INR,69396,12491,3260688,0,setl_cK5sR80qpJOCTH,1787854736jgublm,1749888278,1749753000,Zoom Video Communications - Settlement,order_5sLJ9c2eFYcOkD,card,MC
pay_2FbrEiDhfjJUgH,payment,2083190,INR,43786,7881,2031523,0,setl_b8hHB5v65J8hfo,1787854736k6819y,1749950003,1749789517,Zoom Video Communications - Settlement,order_5sLJ9c2eFYcOkD,card,MC
pay_FfycfcDcysYyuj,payment,1695356,INR,34471,6205,1654680,0,setl_t5UGdCqHBmNWUl,1787854736hs21hd,1736505787,1736361000,Adobe Creative Cloud - Settlement,order_a2tvWYjMiEfvR9,card,MC
pay_D95E5BZvv8oa9X,payment,2294410,INR,44461,8003,2241946,0,setl_p78YelfDpYsaXA,1787854736mlquh5,1765791474,1765650600,Shopify Inc - Settlement,order_uMffCIUdclfUmK,card,VISA
pay_72I1H9YH8zu8cs,payment,3005923,INR,55072,9913,2940938,0,setl_xRx8a3IkFMd19E,178785473681do6o,1769438651,1769279400,Adobe Creative Cloud - Settlement,order_TUtFggQhVWdVjr,card,VISA
pay_OcJL2vBom63OEk,payment,5663642,INR,110538,19897,5533207,0,setl_cj4MzRezSketNx,1787854736fkxwex,1778043507,1777919400,Zoho Corporation - Settlement,order_TUtFgkhu6GQXVY,card,VISA
pay_2PCbhuwI9O4jjv,payment,3922135,INR,81141,14605,3826389,0,setl_ZeqPHR9Eukj1md,1787854736yesu4f,1778963869,1778869800,DigitalOcean - Settlement,order_TUtFgrfYB50rso,card,VISA
pay_IoNSD624mae86p,payment,3745444,INR,71939,12949,3660556,0,setl_JcqWDWn7DSnEMm,17878547361vgll4,1778131662,1778005800,Atlassian - Settlement,order_TUtFgwOc0dDrvp,card,RUPay
pay_ZSLhON1IcDZZgY,payment,5454479,INR,113373,20407,5320699,0,setl_QrWhVIIRwZ5KNf,178785473632uy84,1749738835,1749580200,Shopify Inc - Settlement,order_TUtFh18t6TYvVj,card,VISA
pay_4NLtuu4rrYOTRc,payment,1185523,INR,22777,4100,1158646,0,setl_rxZ4HIBVqIb9g8,1787854736gk0eey,1745721897,1745605800,Dropbox Inc - Settlement,order_KcPLtxjuK13zfF,card,RUPay
pay_W2cxsvTMTC1tBi,payment,2747745,INR,52849,9513,2685383,0,setl_TN8avGBeaMCokd,17878547366bkade,1757780678,1757615400,Salesforce.com - Settlement,order_QOu7SsAoqDHTZf,card,RUPay
pay_SMOjPi6Uvestct,payment,2157190,INR,45042,8108,2104040,0,setl_M3LVF066VJftOj,1787854736duahgk,1755353002,1755196200,Stripe Payments - Settlement,order_7dc9Xr4uxzvqkw,card,VISA
pay_hL397g0EyDAInE,payment,3207672,INR,59534,10716,3137422,0,setl_As550drLpGz8af,1787854736o1lqsr,1763019549,1762885800,Dropbox Inc - Settlement,order_YyujCVD95E5BZv,card,MC
pay_cDn54oAgZBshRf,payment,585368,INR,11049,1989,572330,0,setl_riCUHRlT8biS1L,1787854736c4ryg9,1766406241,1766255400,Slack Technologies - Settlement,order_R6sGyZv2AMGClr,card,RUPay
pay_6L4gOmPVxE7cPr,payment,893313,INR,17618,3171,872524,0,setl_pYgpHYr8t3KWMM,17878547364oipr1,1766502153,1766339480,Slack Technologies - Settlement,order_R6sGyZv2AMGClr,card,VISA
pay_E9oBZXdnrF0nU8,payment,2340767,INR,49887,8980,2281900,0,setl_kux6Wp69fJcHeO,17878547367b03ra,1756429274,1756319400,Freshworks Inc - Settlement,order_uwI9O4jjvyO29g,card,MC
pay_5Sij0phXtxqEuV,payment,5178280,INR,110212,19838,5048230,0,setl_XqJmFEuvxMpeQV,17878547364t8bp6,1785486483,1785349800,Shopify Inc - Settlement,order_8iIPMo50FsLQpl,card,MC
pay_Elmk8UnwbOiXLk,payment,2758437,INR,52213,9398,2696826,0,setl_b0bCKow2KaTYvj,1787854736rttquf,1765139505,1765045800,Zoho Corporation - Settlement,order_7A67H9dPlM4iwX,card,VISA
pay_SPEQXwJYWF6bvG,payment,2113370,INR,44568,8022,2060780,0,setl_Ye8mV8TBCzVuB3,1787854736mdmmmx,1779766255,1779647400,DigitalOcean - Settlement,order_TUtFhiIZkLRKO1,card,MC
pay_ifGFilw1AZwsi9,payment,1392557,INR,27467,4944,1360146,0,setl_OTFq1HKhCoafaB,1787854736qaluld,1786191410,1786041000,Zoho Corporation - Settlement,order_TUtFhp947p1cdH,card,MC
pay_qKQQJKRSwW6sem,payment,5347493,INR,107401,19332,5220760,0,setl_GpUfvVmWbe0w0h,1787854736kb9oi0,1740001853,1739903400,Google Cloud Platform - Settlement,order_TUtFhvwPaUfv6F,card,VISA
pay_AY0X1bazokSlrd,payment,3092384,INR,57339,10321,3024724,0,setl_sjkQjgaVEzfSpT,1787854736ojsyt5,1761153692,1760985000,Amazon Web Services - Settlement,order_TUtFi0lIntVaoP,card,MC
pay_SrejPXyYHikhqi,payment,1768269,INR,38681,6963,1722625,0,setl_r1jN7uc6hmvajm,1787854736snffyk,1742898067,1742754600,Freshworks Inc - Settlement,order_TUtFi5ecgr6q98,card,RUPay
pay_MxzE0xpISPJaXb,payment,231531,INR,5041,907,225583,0,setl_Z14n0QRJqOOJBx,1787854736lr9p6h,1748147144,1748025000,Cloudflare Inc - Settlement,order_TUtFiFOFx3M0z5,card,RUPay
pay_h51ZC8ryk4GPpK,payment,2546356,INR,51765,9318,2485273,0,setl_IQxoK07eB1Fl13,1787854736onxd70,1748164060,1748059237,Cloudflare Inc - Settlement,order_TUtFiFOFx3M0z5,card,RUPay
pay_no7UxGGNuiqNXc,payment,1519265,INR,30769,5538,1482958,0,setl_OjfHpjwgeFlvTz,17878547360307hd,1748186273,1748071810,Cloudflare Inc - Settlement,order_TUtFiFOFx3M0z5,card,RUPay
pay_J9dS5FztVVwgVG,payment,1141500,INR,23700,4266,1113534,0,setl_8bPkeX6Taq726W,1787854736z3a8v4,1787516966,1787423400,Slack Technologies - Settlement,order_FmxsFJsntTGATW,card,RUPay
pay_ECsBVGx5tfiUac,payment,594435,INR,11776,2120,580539,0,setl_qwOiT7WyH11Y4Y,17878547369jd3ih,1773879601,1773772200,Stripe Payments - Settlement,order_ifGFilw1AZwsi9,card,VISA
pay_naBmMkYrMuyDG2,payment,1051658,INR,19706,3547,1028405,0,setl_4n2vZC1z6dZ0s2,178785473633zsmv,1759587991,1759429800,Salesforce.com - Settlement,order_QJKRSwW6semcIA,card,MC
pay_cQ1gnllkV0myrS,payment,320925,INR,6195,1115,313615,0,setl_tcBDnnxIYmTFJg,17878547368314y2,1764914864,1764786600,Cloudflare Inc - Settlement,order_Uy18IT6MT78Sre,card,RUPay
pay_IHSLqfZIXLnqo9,payment,588422,INR,10791,1942,575689,0,setl_b2IKkURFWYXzjB,1787854736auwidq,1764964271,1764843559,Cloudflare Inc - Settlement,order_Uy18IT6MT78Sre,card,RUPay
pay_ITbDWAIy7feqZ0,payment,3656200,INR,72973,13135,3570092,0,setl_rKYaQFW6Hsa5cp,1787854736ezg52k,1765028389,1764877218,Cloudflare Inc - Settlement,order_Uy18IT6MT78Sre,card,VISA
pay_BvSRhKcuviHHwz,payment,915185,INR,16776,3020,895389,0,setl_XaMNztLLxB8ObP,1787854736uxdq59,1770541108,1770402600,Cloudflare Inc - Settlement,order_Hikhqi7crbSqyx,card,VISA
pay_Csh9GzuS9bVyb9,payment,356128,INR,7582,1365,347181,0,setl_qsrtPFDUO4967l,17878547360bjwko,1770552771,1770417757,Cloudflare Inc - Settlement,order_Hikhqi7crbSqyx,card,MC
pay_kVsnKIMMDVRhUr,payment,393869,INR,8367,1506,383996,0,setl_I3CLKeVdFsaQT8,1787854736r9kmp6,1770624476,1770503576,Cloudflare Inc - Settlement,order_Hikhqi7crbSqyx,card,VISA
pay_19qF7w491H1Psz,payment,3607932,INR,68801,12384,3526747,0,setl_mvQT3T9vJ0oxDJ,1787854736ibjzp9,1757161868,1757010600,Adobe Creative Cloud - Settlement,order_oswE9dYf5qhxW3,card,RUPay
pay_jQZcn2FfR6W6UA,payment,3741922,INR,74681,13443,3653798,0,setl_CWree01HF1LKfQ,17878547366vv8su,1767173980,1767033000,Stripe Payments - Settlement,order_oC8qYu7aAQfgjj,card,RUPay
pay_cpWDhNaNQzUjje,payment,2677173,INR,56016,10083,2611074,0,setl_5PeFUR8HX5GUBc,1787854736zrwjxl,1787774747,1787682600,Atlassian - Settlement,order_VBGZ7H6ITcMddb,card,VISA
pay_CmzB5Jc9a942S2,payment,1775857,INR,37380,6728,1731749,0,setl_o6Utt7jNDnUDE7,1787854736nog85d,1745892292,1745778600,Cloudflare Inc - Settlement,order_TUtFipAfLiGJMo,card,VISA
pay_ry9aIEXtGT2Ivu,payment,3363476,INR,60668,10920,3291888,0,setl_KwRuoHeaxTqIpz,1787854736sr5rup,1766569982,1766428200,Slack Technologies - Settlement,order_TUtFizGa9p8WP9,card,MC
pay_7TIRFillwq0oSg,payment,1039114,INR,20300,3654,1015160,0,setl_ymaaCVcNqJengS,1787854736p6rfe6,1785727991,1785609000,Dropbox Inc - Settlement,order_TUtFjD6nrj1ATN,card,RUPay
pay_SD37eGekg895I1,payment,5575349,INR,117034,21066,5437249,0,setl_gSCECGaFojPPFf,1787854736exggoc,1744780813,1744655400,Dropbox Inc - Settlement,order_TUtFjIK07tktKm,card,RUPay
pay_qv7vBEQCDwfmfZ,payment,4602667,INR,89575,16124,4496968,0,setl_TsubyV4yNE8Qpa,1787854736aoaxqo,1741026408,1740853800,Shopify Inc - Settlement,order_TUtFjNGmyIqNvB,card,RUPay
