transaction_date,value_date,description,ref_no,credit,debit,balance
2025-05-06,2025-05-07,NEFT CR: HDFC UTR1787854736wm7s6n RAZORPAY SETTLEMENT REF:pay_GUdqI78Jo2douR,1787854736wm7s6n,28766.91,,1317308.98
2025-05-17,2025-05-19,NEFT CR: HDFC UTR1787854736f4mntf RAZORPAY SETTLEMENT REF:pay_0PkgYTVUKfHf4V,1787854736f4mntf,10620.52,,1327929.5
2025-05-23,2025-05-25,NEFT CR: HDFC UTR1787854736bwcv6h RAZORPAY SETTLEMENT REF:pay_Eh30s5nxfHMIxB,1787854736bwcv6h,45154.24,,1373083.74
2025-05-25,2025-05-25,NEFT CR: HDFC UTR1787854736lr9p6h RAZORPAY SETTLEMENT REF:pay_MxzE0xpISPJaXb,1787854736lr9p6h,2255.83,,1375339.57
2025-05-25,2025-05-26,NEFT CR: HDFC UTR1787854736onxd70 RAZORPAY SETTLEMENT REF:pay_h51ZC8ryk4GPpK,1787854736onxd70,24852.73,,1400192.3
2025-05-25,2025-05-26,NEFT CR: HDFC UTR17878547360307hd RAZORPAY SETTLEMENT REF:pay_no7UxGGNuiqNXc,17878547360307hd,14829.58,,1415021.88
2025-05-28,2025-05-30,NEFT CR: HDFC UTR1787854736n53egd RAZORPAY SETTLEMENT REF:pay_0oxIRzrIrbAEPz,1787854736n53egd,1435.61,,1416457.49
2025-05-29,2025-05-29,NEFT CR: HDFC UTR1787854736uvldd9 RAZORPAY SETTLEMENT REF:pay_jy08ymnB5zQLrT,1787854736uvldd9,1930.73,,1418388.22
2025-06-03,2025-06-04,NEFT CR: HDFC UTR17878547360632cw RAZORPAY SETTLEMENT REF:pay_MNoJKEAbkSOrrc,17878547360632cw,5161.37,,1423549.59
2025-06-04,2025-06-06,NEFT CR: HDFC UTR1787854736hkhjg4 RAZORPAY SETTLEMENT REF:pay_eS4Ztk9yVsqnd6,1787854736hkhjg4,7203.04,,1430752.63
2025-06-11,2025-06-11,NEFT CR: HDFC UTR1787854736ku8h5r RAZORPAY SETTLEMENT REF:pay_uJRP0qSuCyG1t1,1787854736ku8h5r,1736.37,,1432489.0
2025-06-12,2025-06-13,NEFT CR: HDFC UTR178785473632uy84 RAZORPAY SETTLEMENT REF:pay_ZSLhON1IcDZZgY,178785473632uy84,53206.99,,1485695.99
2025-06-14,2025-06-14,NEFT CR: HDFC UTR1787854736jgublm RAZORPAY SETTLEMENT REF:pay_n6WN7dc9Xr4uxz,1787854736jgublm,32606.88,,1518302.87
2025-06-15,2025-06-17,NEFT CR: HDFC UTR1787854736k6819y RAZORPAY SETTLEMENT REF:pay_2FbrEiDhfjJUgH,1787854736k6819y,20315.23,,1538618.1
2025-06-15,2025-06-17,NEFT CR: HDFC UTR1787854736n6y2c2 RAZORPAY SETTLEMENT REF:pay_LzzPc4rQzfnHBX,1787854736n6y2c2,49060.49,,1587678.59
2025-06-19,2025-06-21,NEFT CR: HDFC UTR1787854736c1yfmh RAZORPAY SETTLEMENT REF:pay_atdpnJz3mA5fde,1787854736c1yfmh,41809.62,,1629488.21
2025-06-20,2025-06-20,NEFT CR: HDFC UTR1787854736wyjxtj RAZORPAY SETTLEMENT REF:pay_sEqmGv0lH8wVaW,1787854736wyjxtj,52323.63,,1681811.84
2025-06-21,2025-06-22,NEFT CR: HDFC UTR1787854736r3vwmj RAZORPAY SETTLEMENT REF:pay_lFb4ZegXDxErZw,1787854736r3vwmj,40667.71,,1722479.55
2025-06-22,2025-06-24,NEFT CR: HDFC UTR178785473628pijk RAZORPAY SETTLEMENT REF:pay_Jjy7KTwsnRWqUd,178785473628pijk,52326.67,,1774806.22
2025-06-25,2025-06-26,NEFT CR: HDFC UTR1787854736bb0hq6 RAZORPAY SETTLEMENT REF:pay_olT2ZlqPYVSxIl,1787854736bb0hq6,47264.5,,1822070.72
2025-07-02,2025-07-03,NEFT CR: HDFC UTR1787854736odwmqx RAZORPAY SETTLEMENT REF:pay_wmo5aho4zEKTuj,1787854736odwmqx,47595.21,,1869665.93
2025-07-13,2025-07-13,NEFT CR: HDFC UTR17878547367nzbxf RAZORPAY SETTLEMENT REF:pay_IkPUsJJUD5mpej,17878547367nzbxf,34263.49,,1903929.42
2025-07-16,2025-07-18,NEFT CR: HDFC UTR1787854736zskhzt RAZORPAY SETTLEMENT REF:pay_w84uz3wOxNLPuv,1787854736zskhzt,28988.46,,1932917.88
2025-07-18,2025-07-20,NEFT CR: HDFC UTR1787854736iiwi08 RAZORPAY SETTLEMENT REF:pay_RURo7oLgOD1yZT,1787854736iiwi08,53530.63,,1986448.51
2025-07-19,2025-07-21,NEFT CR: HDFC UTR1787854736qsq0p8 RAZORPAY SETTLEMENT REF:pay_WEOoGkuIVUnzq8,1787854736qsq0p8,29759.72,,2016208.23
2025-07-23,2025-07-25,NEFT CR: HDFC UTR1787854736f486i3 RAZORPAY SETTLEMENT REF:pay_PX4KYSrOorAdIO,1787854736f486i3,40945.92,,2057154.15
2025-07-24,2025-07-25,NEFT CR: HDFC UTR1787854736m3hxyj RAZORPAY SETTLEMENT REF:pay_9DM6vvRHeaIhOi,1787854736m3hxyj,46870.14,,2104024.29
2025-07-26,2025-07-28,NEFT CR: HDFC UTR1787854736zrjo7v RAZORPAY SETTLEMENT REF:pay_MZj4cTswenKnAQ,1787854736zrjo7v,11506.46,,2115530.75
2025-08-04,2025-08-04,NEFT CR: HDFC UTR17878547366z0hr9 RAZORPAY SETTLEMENT REF:pay_KIt80G4djblwl1,17878547366z0hr9,25499.99,,2141030.74
2025-08-05,2025-08-05,NEFT CR: HDFC UTR17878547365hrdu4 RAZORPAY SETTLEMENT REF:pay_FPiZkmwX4SkajD,17878547365hrdu4,16370.62,,2157401.36
2025-08-08,2025-08-08,NEFT CR: HDFC UTR1787854736u2y0oy RAZORPAY SETTLEMENT REF:pay_mebDQIR2eBnxsT,1787854736u2y0oy,25007.8,,2182409.16
2025-08-09,2025-08-11,NEFT CR: HDFC UTR17878547368l6e7v RAZORPAY SETTLEMENT REF:pay_WbQcOQDupFVh8k,17878547368l6e7v,10427.67,,2192836.83
2025-08-10,2025-08-12,NEFT CR: HDFC UTR1787854736dtpwdp RAZORPAY SETTLEMENT REF:pay_2wnL7a4DHJKUrV,1787854736dtpwdp,2132.92,,2194969.75
2025-08-16,2025-08-18,NEFT CR: HDFC UTR1787854736duahgk RAZORPAY SETTLEMENT REF:pay_SMOjPi6Uvestct,1787854736duahgk,21040.4,,2216010.15
2025-08-23,2025-08-24,NEFT CR: HDFC UTR1787854736cwq85x RAZORPAY SETTLEMENT REF:pay_h3udQPnvgmRERQ,1787854736cwq85x,3575.14,,2219585.29
2025-08-23,2025-08-25,NEFT CR: HDFC UTR17878547360vuh17 RAZORPAY SETTLEMENT REF:pay_qr6feECaTPF7zj,17878547360vuh17,45740.34,,2265325.63
2025-08-29,2025-08-29,NEFT CR: HDFC UTR1787854736rr3vrh RAZORPAY SETTLEMENT REF:pay_Vpu1s8lVjNoNG0,1787854736rr3vrh,31970.3,,2297295.93
2025-08-29,2025-08-29,NEFT CR: HDFC UTR17878547367b03ra RAZORPAY SETTLEMENT REF:pay_E9oBZXdnrF0nU8,17878547367b03ra,22819.0,,2320114.93
2025-09-05,2025-09-05,NEFT CR: HDFC UTR17878547368brzva RAZORPAY SETTLEMENT REF:pay_uK98yHa9a9mzP4,17878547368brzva,14532.46,,2334647.39
2025-09-06,2025-09-08,NEFT CR: HDFC UTR1787854736ibjzp9 RAZORPAY SETTLEMENT REF:pay_19qF7w491H1Psz,1787854736ibjzp9,35267.47,,2369914.86
2025-09-08,2025-09-09,NEFT CR: HDFC UTR17878547361hjr6e RAZORPAY SETTLEMENT REF:pay_EpPMj6WpORELeU,17878547361hjr6e,25286.62,,2395201.48
2025-09-09,2025-09-09,NEFT CR: HDFC UTR1787854736t4h20r RAZORPAY SETTLEMENT REF:pay_Pd0EZnMrePoAuv,1787854736t4h20r,41295.71,,2436497.19
2025-09-13,2025-09-13,NEFT CR: HDFC UTR17878547366bkade RAZORPAY SETTLEMENT REF:pay_W2cxsvTMTC1tBi,17878547366bkade,26853.83,,2463351.02
2025-09-13,2025-09-15,NEFT CR: HDFC UTR1787854736ogbjze RAZORPAY SETTLEMENT REF:pay_e3bDoA1gusN72g,1787854736ogbjze,34993.22,,2498344.24
2025-09-15,2025-09-15,NEFT CR: HDFC UTR1787854736y95g5d RAZORPAY SETTLEMENT REF:pay_AjG8R9he60dLGK,1787854736y95g5d,46951.45,,2545295.69
2025-09-20,2025-09-22,NEFT CR: HDFC UTR17878547369kr2fv RAZORPAY SETTLEMENT REF:pay_hxtv6j8Y59KOTt,17878547369kr2fv,20941.25,,2566236.94
2025-09-23,2025-09-23,NEFT CR: HDFC UTR1787854736ibsmqp RAZORPAY SETTLEMENT REF:pay_evFmnZ7XCMXATz,1787854736ibsmqp,46180.91,,2612417.85
2025-09-23,2025-09-24,NEFT CR: HDFC UTR1787854736rv7vsy RAZORPAY SETTLEMENT REF:pay_4nc8QDy20WpaH0,1787854736rv7vsy,26530.86,,2638948.71
2025-09-24,2025-09-24,NEFT CR: HDFC UTR17878547363fezez RAZORPAY SETTLEMENT REF:pay_jTQBlByRydWkOJ,17878547363fezez,29525.8,,2668474.51
2025-09-24,2025-09-26,NEFT CR: HDFC UTR1787854736cqoroi RAZORPAY SETTLEMENT REF:pay_QGV3JE68U93rao,1787854736cqoroi,16763.8,,2685238.31
2025-09-25,2025-09-27,NEFT CR: HDFC UTR17878547362tp6qa RAZORPAY SETTLEMENT REF:pay_GMLrstQRODj0JW,17878547362tp6qa,10603.95,,2695842.26
2025-09-25,2025-09-27,NEFT CR: HDFC UTR1787854736ftcdz3 RAZORPAY SETTLEMENT REF:pay_plMBKSF0TYeoFh,1787854736ftcdz3,5285.43,,2701127.69
2025-09-28,2025-09-30,NEFT CR: HDFC UTR1787854736n8nd7g RAZORPAY SETTLEMENT REF:pay_MxZGakQhjl9YMi,1787854736n8nd7g,46463.08,,2747590.77
2025-09-30,2025-09-30,NEFT CR: HDFC UTR1787854736ebevsx RAZORPAY SETTLEMENT REF:pay_ZBwvA4olAPxS7n,1787854736ebevsx,27578.64,,2775169.41
2025-10-04,2025-10-04,NEFT CR: HDFC UTR178785473633zsmv RAZORPAY SETTLEMENT REF:pay_naBmMkYrMuyDG2,178785473633zsmv,10284.05,,2785453.46
2025-10-11,2025-10-13,NEFT CR: HDFC UTR17878547363lritj RAZORPAY SETTLEMENT REF:pay_apXJ5EzFFtyiki,17878547363lritj,47753.6,,2833207.06
2025-10-15,2025-10-17,NEFT CR: HDFC UTR1787854736jfe8ud RAZORPAY SETTLEMENT REF:pay_Xj7tC4jLlf7byz,1787854736jfe8ud,51852.41,,2885059.47
2025-10-21,2025-10-21,NEFT CR: HDFC UTR1787854736ds1eeu RAZORPAY SETTLEMENT REF:pay_ihcTLrjOwCuryX,1787854736ds1eeu,25009.18,,2910068.65
2025-10-21,2025-10-23,NEFT CR: HDFC UTR1787854736aq15o2 RAZORPAY SETTLEMENT REF:pay_E5ouNzQiQGtOD4,1787854736aq15o2,12676.77,,2922745.42
2025-10-22,2025-10-23,NEFT CR: HDFC UTR1787854736ojsyt5 RAZORPAY SETTLEMENT REF:pay_AY0X1bazokSlrd,1787854736ojsyt5,30247.24,,2952992.66
2025-10-23,2025-10-23,NEFT CR: HDFC UTR1787854736ptkezj RAZORPAY SETTLEMENT REF:pay_1jYInBuNaVWswj,1787854736ptkezj,13831.76,,2966824.42
2025-10-30,2025-11-01,NEFT CR: HDFC UTR1787854736gp3jk8 RAZORPAY SETTLEMENT REF:pay_z8Apb4mm7qT46X,1787854736gp3jk8,53074.57,,3019898.99
2025-10-31,2025-10-31,NEFT CR: HDFC UTR1787854736xf1pi2 RAZORPAY SETTLEMENT REF:pay_a7OQTxrtTQEMwk,1787854736xf1pi2,5729.42,,3025628.41
2025-11-01,2025-11-02,NEFT CR: HDFC UTR1787854736pob7fu RAZORPAY SETTLEMENT REF:pay_cZh7MTQHJqzrCz,1787854736pob7fu,29642.72,,3055271.13
2025-11-01,2025-11-03,NEFT CR: HDFC UTR1787854736fox5ww RAZORPAY SETTLEMENT REF:pay_PWfpQ9BZcuPcxI,1787854736fox5ww,6085.5,,3061356.63
2025-11-05,2025-11-07,NEFT CR: HDFC UTR1787854736737suu RAZORPAY SETTLEMENT REF:pay_epYvCFPHv1zA1c,1787854736737suu,40039.74,,3101396.37
2025-11-07,2025-11-08,NEFT CR: HDFC UTR1787854736imoe0s RAZORPAY SETTLEMENT REF:pay_zdyuVH7I71s87x,1787854736imoe0s,20570.55,,3121966.92
2025-11-10,2025-11-11,NEFT CR: HDFC UTR1787854736cbhhlk RAZORPAY SETTLEMENT REF:pay_mPqVHXkKzSStkU,1787854736cbhhlk,13192.76,,3135159.68
2025-11-10,2025-11-12,NEFT CR: HDFC UTR17878547366gvgt2 RAZORPAY SETTLEMENT REF:pay_RFb91KzlxyLoQs,17878547366gvgt2,20483.23,,3155642.91
2025-11-10,2025-11-12,NEFT CR: HDFC UTR1787854736a3y5t3 RAZORPAY SETTLEMENT REF:pay_1vTFcWSwtPW89w,1787854736a3y5t3,22494.35,,3178137.26
2025-11-13,2025-11-15,NEFT CR: HDFC UTR1787854736o1lqsr RAZORPAY SETTLEMENT REF:pay_hL397g0EyDAInE,1787854736o1lqsr,31374.22,,3209511.48
2025-11-18,2025-11-19,NEFT CR: HDFC UTR1787854736j6oww5 RAZORPAY SETTLEMENT REF:pay_v1aGhr8wo6uJcU,1787854736j6oww5,23606.89,,3233118.37
2025-11-19,2025-11-20,NEFT CR: HDFC UTR1787854736lpa5cg RAZORPAY SETTLEMENT REF:pay_HVdjpZu0R0ygBJ,1787854736lpa5cg,4532.11,,3237650.48
2025-11-23,2025-11-23,NEFT CR: HDFC UTR1787854736qz05ev RAZORPAY SETTLEMENT REF:pay_E5GwSFvbYodhIY,1787854736qz05ev,2966.15,,3240616.63
2025-11-24,2025-11-25,NEFT CR: HDFC UTR1787854736b3lpvo RAZORPAY SETTLEMENT REF:pay_Ip4xtX6iiHAkh6,1787854736b3lpvo,1051.04,,3241667.67
2025-11-24,2025-11-26,NEFT CR: HDFC UTR1787854736zbrd39 RAZORPAY SETTLEMENT REF:pay_4VZofJNzMLx005,1787854736zbrd39,1041.55,,3242709.22
2025-11-25,2025-11-26,NEFT CR: HDFC UTR178785473643qlx3 RAZORPAY SETTLEMENT REF:pay_r6iiL92eTeFONg,178785473643qlx3,14620.43,,3257329.65
2025-11-27,2025-11-27,NEFT CR: HDFC UTR178785473684hxxp RAZORPAY SETTLEMENT REF:pay_hmRTfMyhYnzqEr,178785473684hxxp,14584.68,,3271914.33
2025-11-29,2025-11-29,NEFT CR: HDFC UTR1787854736is2gy9 RAZORPAY SETTLEMENT REF:pay_w122QojdKYmqYY,1787854736is2gy9,50542.34,,3322456.67
2025-12-04,2025-12-04,NEFT CR: HDFC UTR178785473647d9gb RAZORPAY SETTLEMENT REF:pay_jXXk3EP8NZyVx3,178785473647d9gb,18085.66,,3340542.33
2025-12-05,2025-12-05,NEFT CR: HDFC UTR17878547368314y2 RAZORPAY SETTLEMENT REF:pay_cQ1gnllkV0myrS,17878547368314y2,3136.15,,3343678.48
2025-12-05,2025-12-05,NEFT CR: HDFC UTR1787854736x15xjx RAZORPAY SETTLEMENT REF:pay_bOfRJJlyoZUHpd,1787854736x15xjx,15.28,,3343693.76
2025-12-06,2025-12-08,NEFT CR: HDFC UTR1787854736auwidq RAZORPAY SETTLEMENT REF:pay_IHSLqfZIXLnqo9,1787854736auwidq,5756.89,,3349450.65
2025-12-06,2025-12-06,NEFT CR: HDFC UTR1787854736ezg52k RAZORPAY SETTLEMENT REF:pay_ITbDWAIy7feqZ0,1787854736ezg52k,35700.92,,3385151.57
2025-12-06,2025-12-06,NEFT CR: HDFC UTR1787854736zkelz5 RAZORPAY SETTLEMENT REF:pay_ZPHkIf3JK5gZ8n,1787854736zkelz5,9372.67,,3394524.24
2025-12-08,2025-12-09,NEFT CR: HDFC UTR1787854736rttquf RAZORPAY SETTLEMENT REF:pay_Elmk8UnwbOiXLk,1787854736rttquf,26968.26,,3421492.5
2025-12-09,2025-12-09,NEFT CR: HDFC UTR1787854736bpgvv4 RAZORPAY SETTLEMENT REF:pay_KPbbgJXRZUlwoE,1787854736bpgvv4,3837.96,,3425330.46
2025-12-12,2025-12-13,NEFT CR: HDFC UTR1787854736ax985i RAZORPAY SETTLEMENT REF:pay_3WL64ZOtItkKWo,1787854736ax985i,7862.43,,3433192.89
2025-12-13,2025-12-13,NEFT CR: HDFC UTR1787854736nue7a3 RAZORPAY SETTLEMENT REF:pay_PhD9poBqZXhdJr,1787854736nue7a3,19260.9,,3452453.79
2025-12-15,2025-12-15,NEFT CR: HDFC UTR1787854736mlquh5 RAZORPAY SETTLEMENT REF:pay_D95E5BZvv8oa9X,1787854736mlquh5,22419.46,,3474873.25
2025-12-16,2025-12-18,NEFT CR: HDFC UTR1787854736rwqmmu RAZORPAY SETTLEMENT REF:pay_xrci4HIcgiTuby,1787854736rwqmmu,38773.57,,3513646.82
2025-12-16,2025-12-16,NEFT CR: HDFC UTR17878547362ink4f RAZORPAY SETTLEMENT REF:pay_XbQUkjQWOpcJq5,17878547362ink4f,26277.46,,3539924.28
2025-12-17,2025-12-19,NEFT CR: HDFC UTR1787854736iyojtp RAZORPAY SETTLEMENT REF:pay_jlq6XvjgYoPHte,1787854736iyojtp,52385.84,,3592310.12
2025-12-21,2025-12-21,NEFT CR: HDFC UTR1787854736ijvddw RAZORPAY SETTLEMENT REF:pay_jvKgbR9by8dZTG,1787854736ijvddw,33310.35,,3625620.47
2025-12-22,2025-12-23,NEFT CR: HDFC UTR1787854736c4ryg9 RAZORPAY SETTLEMENT REF:pay_cDn54oAgZBshRf,1787854736c4ryg9,5723.3,,3631343.77
2025-12-23,2025-12-24,NEFT CR: HDFC UTR17878547364oipr1 RAZORPAY SETTLEMENT REF:pay_6L4gOmPVxE7cPr,17878547364oipr1,8725.24,,3640069.01
2025-12-24,2025-12-25,NEFT CR: HDFC UTR1787854736sr5rup RAZORPAY SETTLEMENT REF:pay_ry9aIEXtGT2Ivu,1787854736sr5rup,32918.88,,3672987.89
2025-12-28,2025-12-30,NEFT CR: HDFC UTR17878547362xrw6t RAZORPAY SETTLEMENT REF:pay_1CB51jjrZHBUxm,17878547362xrw6t,33882.94,,3706870.83
